*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-E000-0-racoam *{1,1} 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: *{1,1} resourceUri: *{1,1} changes in *{1,1}
004054 02.06 14:23:14.055 [192.168.255.129] 15 FCT-E000-0-racoam <2019-06-02T06:23:16.760448Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/12, changes in proceduralStatus
004067 02.06 14:23:14.071 [192.168.255.129] 19 FCT-E000-0-racoam <2019-06-02T06:23:16.760649Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResProceduralStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/12
004680 02.06 14:23:16.830 [192.168.255.129] 3d FCT-E000-0-racoam <2019-06-02T06:23:19.569603Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/9, changes in proceduralStatus
004684 02.06 14:23:16.830 [192.168.255.129] 41 FCT-E000-0-racoam <2019-06-02T06:23:19.569757Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResProceduralStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/9
004691 02.06 14:23:16.846 [192.168.255.129] 44 FCT-E000-0-racoam <2019-06-02T06:23:19.573160Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/11, changes in proceduralStatus
004695 02.06 14:23:16.846 [192.168.255.129] 48 FCT-E000-0-racoam <2019-06-02T06:23:19.573318Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResProceduralStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/11
004702 02.06 14:23:16.861 [192.168.255.129] 4b FCT-E000-0-racoam <2019-06-02T06:23:19.573463Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/12, changes in proceduralStatus
004706 02.06 14:23:16.861 [192.168.255.129] 4f FCT-E000-0-racoam <2019-06-02T06:23:19.573718Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResProceduralStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/12
004713 02.06 14:23:16.861 [192.168.255.129] 52 FCT-E000-0-racoam <2019-06-02T06:23:19.573833Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/10, changes in proceduralStatus
004717 02.06 14:23:16.861 [192.168.255.129] 56 FCT-E000-0-racoam <2019-06-02T06:23:19.573981Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResProceduralStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/10
004727 02.06 14:23:16.877 [192.168.255.129] 59 FCT-E000-0-racoam <2019-06-02T06:23:19.574583Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/frm/3/radio/1/antenna/1, changes in availabilityStatus,proceduralStatus,operationalState,txResources
004738 02.06 14:23:16.893 [192.168.255.129] 5c FCT-E000-0-racoam <2019-06-02T06:23:19.574724Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/frm/3/radio/1/antenna/2, changes in availabilityStatus,proceduralStatus,operationalState,txResources
004741 02.06 14:23:16.893 [192.168.255.129] 5f FCT-E000-0-racoam <2019-06-02T06:23:19.574835Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/frm/3/radio/2/antenna/1, changes in availabilityStatus,proceduralStatus,operationalState,rxResources
004751 02.06 14:23:16.893 [192.168.255.129] 62 FCT-E000-0-racoam <2019-06-02T06:23:19.574944Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/frm/3/radio/2/antenna/2, changes in availabilityStatus,proceduralStatus,operationalState,rxResources
004877 02.06 14:23:17.423 [192.168.255.129] 89 FCT-E000-0-racoam <2019-06-02T06:23:20.149710Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
004904 02.06 14:23:17.626 [192.168.255.129] 8f FCT-E000-0-racoam <2019-06-02T06:23:20.350445Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
004989 02.06 14:23:18.421 [192.168.255.129] 95 FCT-E000-0-racoam <2019-06-02T06:23:21.153444Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
005321 02.06 14:23:22.633 [192.168.255.129] a1 FCT-E000-0-racoam <2019-06-02T06:23:25.366889Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
005463 02.06 14:23:24.443 [192.168.255.129] a7 FCT-E000-0-racoam <2019-06-02T06:23:27.173140Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
005535 02.06 14:23:25.441 [192.168.255.129] ae FCT-E000-0-racoam <2019-06-02T06:23:28.180567Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
005710 02.06 14:23:27.438 [192.168.255.129] b9 FCT-E000-0-racoam <2019-06-02T06:23:30.182481Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in phaseError
005773 02.06 14:23:28.047 [192.168.255.129] c6 FCT-E000-0-racoam <2019-06-02T06:23:30.782958Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
006128 02.06 14:23:33.070 [192.168.255.129] d2 FCT-E000-0-racoam <2019-06-02T06:23:35.793795Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
006557 02.06 14:23:37.485 [192.168.255.129] e1 FCT-E000-0-racoam <2019-06-02T06:23:40.209371Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
006624 02.06 14:23:38.480 [192.168.255.129] ee FCT-E000-0-racoam <2019-06-02T06:23:41.210181Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status, changes in ocxoControlValue
006639 02.06 14:23:38.671 [192.168.255.129] f4 FCT-E000-0-racoam <2019-06-02T06:23:41.409916Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/application/sync/status/ppsSource, changes in satellitesList
007013 02.06 14:23:41.733 [192.168.255.129] 01 FCT-E000-0-racoam <2019-06-02T06:23:44.467900Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/9/changeIndications, changes in active,state,indStatus
007016 02.06 14:23:41.733 [192.168.255.129] 04 FCT-E000-0-racoam <2019-06-02T06:23:44.468038Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/11/changeIndications, changes in active,state,indStatus
007045 02.06 14:23:41.748 [192.168.255.129] 07 FCT-E000-0-racoam <2019-06-02T06:23:44.468179Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/12/changeIndications, changes in active,state,indStatus
007048 02.06 14:23:41.748 [192.168.255.129] 0a FCT-E000-0-racoam <2019-06-02T06:23:44.468303Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/10/changeIndications, changes in active,state,indStatus
007083 02.06 14:23:41.748 [192.168.255.129] 0d FCT-E000-0-racoam <2019-06-02T06:23:44.468426Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/9, changes in availabilityStatus
007087 02.06 14:23:41.748 [192.168.255.129] 11 FCT-E000-0-racoam <2019-06-02T06:23:44.468603Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/c/v1/cbts/1/localCell/3/axcResAvailabilityStatus, changes in /mz/p/v1/pbts/1/fsm/1/axcresblock/9
007110 02.06 14:23:41.764 [192.168.255.129] 14 FCT-E000-0-racoam <2019-06-02T06:23:44.472728Z> 62 DBG/RACOAM/EVENTS forwarding to client siteoam, channel other: changeType: U, resourceUri: /mz/p/v1/pbts/1/fsm/1/axcresblock/9, changes in operationalState
