*{1,1} 02.06 *{1,1} [192.168.255.129] *{1,1} FCT-1011-0-CCS *{1,1} 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: *{1,1}
Support: 179

51 58 63 142 145 324 336 475 495 670 673 692 697 763 768 779 880 883 992 996 1064 1067 1122 1125 1217 1231 1234 1239 1244 1330 1333 1425 1429 1484 1492 1595 1598 1680 1685 1793 1796 1801 1812 1825 1913 1991 3790 3801 4222 4241 4530 4533 4636 4639 4653 4657 4666 4890 4894 5007 5010 5069 5072 5134 5139 5226 5229 5233 5304 5308 5311 5316 5395 5398 5459 5474 5529 5562 5615 5628 5732 5736 5747 5750 5755 5817 5820 5823 5879 5890 5954 5959 6007 6020 6105 6109 6112 6201 6204 6207 6212 6285 6288 6343 6364 6444 6457 6544 6565 6568 6619 6634 6711 6714 6717 6722 6768 6773 6820 6899 7709 7725 10245 10248 10251 10325 10328 10392 10427 10430 10435 10512 10532 10677 10687 11034 11046 11073 11292 11302 11484 11497 11646 11665 11672 11682 11847 11856 12180 12190 12203 13608 13717 13810 13815 13872 13885 14040 14051 14330 15184 17730 17859 18023 18160 19064 21063 21231 21532 21555 21778 21790 21842 21853 21856 21861 21865 22305 22464 
001598 02.06 14:23:09.538 [192.168.255.129] ab FCT-1011-0-CCS <2019-06-02T06:23:12.267448Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001680 02.06 14:23:10.434 [192.168.255.129] db FCT-1011-0-CCS <2019-06-02T06:23:13.160433Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001685 02.06 14:23:10.516 [192.168.255.129] df FCT-1011-0-CCS <2019-06-02T06:23:13.244296Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001793 02.06 14:23:11.443 [192.168.255.129] 2c FCT-1011-0-CCS <2019-06-02T06:23:14.183496Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001796 02.06 14:23:11.543 [192.168.255.129] 2f FCT-1011-0-CCS <2019-06-02T06:23:14.265731Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
001801 02.06 14:23:11.574 [192.168.255.129] 33 FCT-1011-0-CCS <2019-06-02T06:23:14.304815Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001812 02.06 14:23:11.614 [192.168.255.129] 3c FCT-1011-0-CCS <2019-06-02T06:23:14.340075Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 38
001825 02.06 14:23:11.776 [192.168.255.129] 44 FCT-1011-0-CCS <2019-06-02T06:23:14.514489Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
001913 02.06 14:23:12.427 [192.168.255.129] 74 FCT-1011-0-CCS <2019-06-02T06:23:15.163050Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
001991 02.06 14:23:12.564 [192.168.255.129] 9f FCT-1011-0-CCS <2019-06-02T06:23:15.254758Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
003790 02.06 14:23:13.478 [192.168.255.129] 56 FCT-1011-0-CCS <2019-06-02T06:23:16.164647Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
003801 02.06 14:23:13.509 [192.168.255.129] 59 FCT-1011-0-CCS <2019-06-02T06:23:16.248863Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
004222 02.06 14:23:14.428 [192.168.255.129] e3 FCT-1011-0-CCS <2019-06-02T06:23:17.163194Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
004241 02.06 14:23:14.506 [192.168.255.129] e6 FCT-1011-0-CCS <2019-06-02T06:23:17.247228Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
004530 02.06 14:23:15.473 [192.168.255.129] 3a FCT-1011-0-CCS <2019-06-02T06:23:18.175879Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
004533 02.06 14:23:15.520 [192.168.255.129] 3d FCT-1011-0-CCS <2019-06-02T06:23:18.260340Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
004636 02.06 14:23:16.456 [192.168.255.129] 85 FCT-1011-0-CCS <2019-06-02T06:23:19.173641Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
004639 02.06 14:23:16.518 [192.168.255.129] 88 FCT-1011-0-CCS <2019-06-02T06:23:19.257465Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
004653 02.06 14:23:16.659 [192.168.255.129] 96 FCT-1011-0-CCS <2019-06-02T06:23:19.387841Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 102
004657 02.06 14:23:16.690 [192.168.255.129] 99 FCT-1011-0-CCS <2019-06-02T06:23:19.423341Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
004666 02.06 14:23:16.815 [192.168.255.129] 9e FCT-1011-0-CCS <2019-06-02T06:23:19.544818Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 38
004890 02.06 14:23:17.423 [192.168.255.129] 0f FCT-1011-0-CCS <2019-06-02T06:23:20.164844Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
004894 02.06 14:23:17.517 [192.168.255.129] 12 FCT-1011-0-CCS <2019-06-02T06:23:20.249004Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005007 02.06 14:23:18.437 [192.168.255.129] 58 FCT-1011-0-CCS <2019-06-02T06:23:21.164528Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005010 02.06 14:23:18.515 [192.168.255.129] 5b FCT-1011-0-CCS <2019-06-02T06:23:21.248683Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005069 02.06 14:23:19.435 [192.168.255.129] 76 FCT-1011-0-CCS <2019-06-02T06:23:22.165485Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005072 02.06 14:23:19.513 [192.168.255.129] 79 FCT-1011-0-CCS <2019-06-02T06:23:22.249399Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
005134 02.06 14:23:20.434 [192.168.255.129] 9b FCT-1011-0-CCS <2019-06-02T06:23:23.164051Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 18
005139 02.06 14:23:20.512 [192.168.255.129] 9f FCT-1011-0-CCS <2019-06-02T06:23:23.249199Z> 398E INF/LFS/LinuxSyslog, gpsd-ext[25709]: got packet data, size: 69
